ID,Citation,Type,Used in Slides
1,"Allen & Iano, 2019; Porteous & Kermani, 2013; Ramage et al., 2017",Academic,1
2,"Addis, 2007; Ramage et al., 2017; Lehmann, 2012",Academic,2
3,"Porteous & Kermani, 2013; Buchanan & Levine, 1999",Academic,3
4,"Allen & Iano, 2019; Smith & Frangi, 2014; Porteous & Kermani, 2013",Academic,4
5,"Porteous & Kermani, 2013; Allen & Iano, 2019",Academic,"5, 9"
6,"Ramage et al., 2017; De Wolf et al., 2017; Buchanan & Levine, 1999",Academic,6
7,"Kuzmanovska et al., 2018; Voll Arkitekter, 2019; Ramage et al., 2017",Academic,7
8,"Acton Ostry Architects, 2016; Shigeru Ban Architects, 2013; Lehmann, 2012",Academic,8
9,"Ramage et al., 2017; Lehmann, 2012; Smith & Frangi, 2014",Academic,10
10,"Lim, 2019; Allen & Iano, 2019",Academic,"11, 13, 15, 19"
11,"Addis, 2007; Billington, 1983",Academic,"12, 16"
12,"Taranath, 2012; Billington, 1983; Lim, 2019",Academic,14
13,"Billington, 1983; Addis, 2007",Academic,17
14,"De Wolf et al., 2017; Allen & Iano, 2019",Academic,18
15,"De Wolf et al., 2017; Taranath, 2012; Allen & Iano, 2019",Academic,20
16,"Hendry et al., 2004; Heyman, 1995; Allen & Iano, 2019",Academic,21
17,"Heyman, 1995; Lancaster, 2005; Addis, 2007",Academic,22
18,"Hendry et al., 2004; Morton, 2008; Allen & Iano, 2019",Academic,23
19,"Heyman, 1995; Lancaster, 2005; Hendry et al., 2004",Academic,24
20,"Hendry et al., 2004; Allen & Iano, 2019",Academic,25
21,"Lancaster, 2005; Heyman, 1995",Academic,26
22,"Addis, 2007; Heyman, 1995",Academic,27
23,"De Wolf et al., 2017; Morton, 2008; Allen & Iano, 2019",Academic,28
24,"Hendry et al., 2004; Allen & Iano, 2019; Morton, 2008",Academic,29
25,"Allen & Iano, 2019; Heyman, 1995; Ramage et al., 2017; De Wolf et al., 2017",Academic,30
R1,"Allen, E., & Iano, J. (2019). Fundamentals of Building Construction: Materials and Methods (7th ed.). Hoboken, NJ: Wiley.",Full Reference,—
R2,"Addis, W. (2007). Building: 3000 Years of Design, Engineering and Construction. London: Phaidon.",Full Reference,—
R3,"Billington, D. P. (1983). The Tower and the Bridge: The New Art of Structural Engineering. New York: Basic Books.",Full Reference,—
R4,"Buchanan, A. H., & Levine, S. B. (1999). Wood-based building materials and atmospheric carbon emissions. Environmental Science & Policy, 2(6), 427–437.",Full Reference,—
R5,"De Wolf, C., Pomponi, F., & Moncaster, A. (2017). Measuring embodied carbon dioxide equivalent of buildings: A review and critique of current industry practice. Energy and Buildings, 140, 68–80.",Full Reference,—
R6,"Hendry, A. W., Sinha, B. P., & Davies, S. R. (2004). Design of Masonry Structures (3rd ed.). London: E & FN Spon.",Full Reference,—
R7,"Heyman, J. (1995). The Stone Skeleton: Structural Engineering of Masonry Architecture. Cambridge: Cambridge University Press.",Full Reference,—
R8,"Kuzmanovska, I., Miltersen, A., & Kirkegaard, P. H. (2018). Tall timber buildings: Emerging typology challenges. Proceedings of the World Conference on Timber Engineering (WCTE 2018).",Full Reference,—
R9,"Lancaster, L. C. (2005). Concrete Vaulted Construction in Imperial Rome. Cambridge: Cambridge University Press.",Full Reference,—
R10,"Lehmann, S. (2012). Sustainable construction for urban infill development using engineered massive wood panel systems. Sustainability, 4(10), 2707–2742.",Full Reference,—
R11,"Lim, J. (2019). Structural Steel Design (5th ed.). Upper Saddle River, NJ: Pearson.",Full Reference,—
R12,"Morton, J. (2008). Seeing Structures Forum: Stone, Brick and Mortar. The Structural Engineer, 86(15), 13–20.",Full Reference,—
R13,"Porteous, J., & Kermani, A. (2013). Structural Timber Design to Eurocode 5 (2nd ed.). Oxford: Wiley-Blackwell.",Full Reference,—
R14,"Ramage, M. H., Burridge, H., Busse-Wicher, M., Fereday, G., Reynolds, T., Shah, D. U., … Scherman, O. A. (2017). The wood from the trees: The use of timber in construction. Renewable and Sustainable Energy Reviews, 68, 333–359.",Full Reference,—
R15,"Smith, I., & Frangi, A. (2014). Use of Timber in Tall Multi-Storey Buildings. Zurich: International Association for Bridge and Structural Engineering (IABSE).",Full Reference,—
R16,"Taranath, B. S. (2012). Structural Analysis and Design of Tall Buildings: Steel and Composite Construction. Boca Raton, FL: CRC Press.",Full Reference,—
